[1/20] loss:0.1241,acc_train:0.9657,val_loss:0.1385,acc_val:0.9580
[2/20] loss:0.0674,acc_train:0.9806,val_loss:0.0992,acc_val:0.9700
[3/20] loss:0.0479,acc_train:0.9860,val_loss:0.0812,acc_val:0.9754
[4/20] loss:0.0324,acc_train:0.9904,val_loss:0.0785,acc_val:0.9772
[5/20] loss:0.0330,acc_train:0.9899,val_loss:0.0915,acc_val:0.9750
[6/20] loss:0.0177,acc_train:0.9945,val_loss:0.0752,acc_val:0.9787
[7/20] loss:0.0176,acc_train:0.9942,val_loss:0.0865,acc_val:0.9776
[8/20] loss:0.0168,acc_train:0.9944,val_loss:0.0854,acc_val:0.9795
[9/20] loss:0.0244,acc_train:0.9919,val_loss:0.1123,acc_val:0.9753
[10/20] loss:0.0127,acc_train:0.9957,val_loss:0.1009,acc_val:0.9788
[11/20] loss:0.0143,acc_train:0.9953,val_loss:0.1019,acc_val:0.9791
[12/20] loss:0.0082,acc_train:0.9975,val_loss:0.0985,acc_val:0.9788
[13/20] loss:0.0152,acc_train:0.9949,val_loss:0.1180,acc_val:0.9779
[14/20] loss:0.0056,acc_train:0.9985,val_loss:0.1007,acc_val:0.9800
[15/20] loss:0.0106,acc_train:0.9967,val_loss:0.1076,acc_val:0.9796
[16/20] loss:0.0095,acc_train:0.9965,val_loss:0.1258,acc_val:0.9773
[17/20] loss:0.0145,acc_train:0.9951,val_loss:0.1202,acc_val:0.9773
[18/20] loss:0.0119,acc_train:0.9961,val_loss:0.1200,acc_val:0.9798
[19/20] loss:0.0111,acc_train:0.9969,val_loss:0.1090,acc_val:0.9799
[20/20] loss:0.0080,acc_train:0.9974,val_loss:0.1174,acc_val:0.9780
